LoggerID,input,probeID,area,transect,plot,depth_cm
DL42391,1,220915-11,WLD,old,2,10
DL42391,2,220915-11,WLD,old,2,20
DL42391,3,220915-11,WLD,old,2,30
DL42391,4,220915-11,WLD,old,2,40
DL42391,5,220915-19,WLD,old,3,10
DL42391,6,220915-19,WLD,old,3,20
DL42391,7,220915-19,WLD,old,3,30
DL42391,8,220915-19,WLD,old,3,40
DL42391,9,220915-06,WLD,old,3,10
DL42391,10,220915-06,WLD,old,3,20
DL42391,11,220915-06,WLD,old,3,30
DL42391,12,220915-06,WLD,old,3,40
DL42391,13,220916-01,WLD,old,ref,NA
DL42391,Ground,220916-08,WLD,old,ref,NA
DL42386,1,220916-26,WLD,old,5,10
DL42386,2,220916-26,WLD,old,5,20
DL42386,3,220916-26,WLD,old,5,30
DL42386,4,220916-26,WLD,old,5,40
DL42386,5,220915-21,WLD,old,4,10
DL42386,6,220915-21,WLD,old,4,20
DL42386,7,220915-21,WLD,old,4,30
DL42386,8,220915-21,WLD,old,4,40
DL42386,9,220915-09,WLD,old,4,10
DL42386,10,220915-09,WLD,old,4,20
DL42386,11,220915-09,WLD,old,4,30
DL42386,12,220915-09,WLD,old,4,40
DL42386,13,220916-16,WLD,old,ref,NA
DL42386,Ground,220916-18,WLD,old,ref,NA
DL42389,1,220195-04,WLD,young,1,10
DL42389,2,220195-04,WLD,young,1,20
DL42389,3,220195-04,WLD,young,1,30
DL42389,4,220195-04,WLD,young,1,40
DL42389,5,220915-07,WLD,young,2,10
DL42389,6,220915-07,WLD,young,2,20
DL42389,7,220915-07,WLD,young,2,30
DL42389,8,220915-07,WLD,young,2,40
DL42389,9,220915-07,WLD,young,2,10
DL42389,10,220915-08,WLD,young,2,20
DL42389,11,220915-08,WLD,young,2,30
DL42389,12,220915-08,WLD,young,2,40
DL42389,13,220915-08,WLD,young,ref,NA
DL42389,Ground,220916-05,WLD,young,ref,NA
DL42385,1,220915-24,WLD,young,4,10
DL42385,2,220915-24,WLD,young,4,20
DL42385,3,220915-24,WLD,young,4,30
DL42385,4,220915-24,WLD,young,4,40
DL42385,5,220915-15,WLD,young,3,10
DL42385,6,220915-15,WLD,young,3,20
DL42385,7,220915-15,WLD,young,3,30
DL42385,8,220915-15,WLD,young,3,40
DL42385,9,220915-12,WLD,young,3,10
DL42385,10,220915-12,WLD,young,3,20
DL42385,11,220915-12,WLD,young,3,30
DL42385,12,220915-12,WLD,young,3,40
DL42385,13,220916-06,WLD,young,ref,NA
DL42385,Ground,220916-12,WLD,young,ref,NA