"sampleID","sample_date","sample_time","area","transect","plot","medium","depth","Year","DOY","parameter","result_value","unit","constituent","instrument","ddl","detection_FLAG"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"pH",7.01,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"SpC",451,"uS/CM","CHEM","Probe",-10,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"ORP",190,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"temp",33.7,"C","CHEM","Probe",-10,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"DOC",6.964968027,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"TC",39.61960603,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"SO4",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"NH4",NA,"UG/L","NUTRIENT","NUTRIENT",0.091,NA
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"SRP",NA,"UG/L","NUTRIENT","NUTRIENT",0.019,NA
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Fe_II",0.03,"MG/L","TE","Hach",0.03,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Mn_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Fe_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"P",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Ca",42.9448865,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Mg",14.28206204,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"Si",15.35,"UG/L","TE","ICP-MS",30.7,"<"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"DIC",32.654638003,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-44",2023-07-11,11H 16M 0S,"WLD","young",4,"WS",0,2023,192,"CaMg",57.22694854,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"pH",6.52,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"SpC",972,"uS/CM","CHEM","Probe",-10,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"ORP",-117,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"temp",31.8,"C","CHEM","Probe",-10,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"DOC",14.3344796,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"TC",102.0482062,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"SO4",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"NH4",NA,"UG/L","NUTRIENT","NUTRIENT",0.091,NA
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"SRP",NA,"UG/L","NUTRIENT","NUTRIENT",0.019,NA
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"Fe_II",17,"MG/L","TE","Hach",0.03,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"Mn_OES",5.612017563,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"Fe_OES",16.64586812,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"P",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"Ca",92.5311463,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"Mg",27.5369599,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"Si",15.35,"UG/L","TE","ICP-MS",30.7,"<"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"DIC",87.7137266,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-45",2023-07-11,11H 29M 0S,"WLD","young",4,"WI",10,2023,192,"CaMg",120.0681062,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"pH",6.85,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"SpC",2490,"uS/CM","CHEM","Probe",-10,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"ORP",-162,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"temp",32.5,"C","CHEM","Probe",-10,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"DOC",49.97113472,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"TC",164.3722359,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"SO4",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"NH4",NA,"UG/L","NUTRIENT","NUTRIENT",0.091,NA
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"SRP",NA,"UG/L","NUTRIENT","NUTRIENT",0.019,NA
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"Fe_II",37.5,"MG/L","TE","Hach",0.03,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"Mn_OES",12.43052895,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"Fe_OES",46.33817758,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"P",1.300866363,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"Ca",247.6406807,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"Mg",79.39046989,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"Si",15.35,"UG/L","TE","ICP-MS",30.7,"<"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"DIC",114.40110118,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-46",2023-07-11,11H 41M 0S,"WLD","young",4,"WI",20,2023,192,"CaMg",327.03115059,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"pH",6.63,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"SpC",2860,"uS/CM","CHEM","Probe",-10,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"ORP",-138,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"temp",32.3,"C","CHEM","Probe",-10,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"DOC",49.45065899,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"TC",172.4241659,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"SO4",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"NH4",NA,"UG/L","NUTRIENT","NUTRIENT",0.091,NA
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"SRP",NA,"UG/L","NUTRIENT","NUTRIENT",0.019,NA
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"Fe_II",40,"MG/L","TE","Hach",0.03,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"Mn_OES",13.26933207,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"Fe_OES",49.64779434,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"P",1.487889445,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"Ca",268.7062748,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"Mg",87.32039722,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"Si",15.35,"UG/L","TE","ICP-MS",30.7,"<"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"DIC",122.97350691,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-47",2023-07-11,11H 56M 0S,"WLD","young",4,"WI",30,2023,192,"CaMg",356.02667202,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"pH",6.7,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"SpC",482,"uS/CM","CHEM","Probe",-10,"NONE"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"ORP",7,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"temp",31.9,"C","CHEM","Probe",-10,"NONE"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"DOC",7.315492504,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"TC",27.81359437,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"SO4",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"NH4",NA,"UG/L","NUTRIENT","NUTRIENT",0.091,NA
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"SRP",NA,"UG/L","NUTRIENT","NUTRIENT",0.019,NA
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"Fe_II",0.015,"MG/L","TE","Hach",0.03,"<"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"Mn_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"Fe_OES",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"P",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"Ca",43.72878927,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"Mg",14.61083897,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"Si",15.35,"UG/L","TE","ICP-MS",30.7,"<"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"DIC",20.498101866,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-48",2023-07-11,12H 20M 0S,"WLD","young",3,"WS",0,2023,192,"CaMg",58.33962824,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"pH",6.72,"UNITS","CHEM","Probe",-10,"NONE"
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"SpC",563,"uS/CM","CHEM","Probe",-10,"NONE"
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"ORP",-67,"MV","CHEM","Probe",-1000,"NONE"
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"temp",32,"C","CHEM","Probe",-10,"NONE"
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"DOC",8.044158537,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"TC",39.87057527,"MG/L","C","TOC-L",0.1,"NONE"
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"Cl",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"SO4",NA,"MG/L","ANION","IC",0.1,NA
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"NH4",NA,"UG/L","NUTRIENT","NUTRIENT",0.091,NA
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"SRP",NA,"UG/L","NUTRIENT","NUTRIENT",0.019,NA
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"NO3",NA,"UG/L","NUTRIENT","NUTRIENT",0.15,NA
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"Fe_II",3.75,"MG/L","TE","Hach",0.03,"NONE"
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"Mn_OES",1.997148202,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"Fe_OES",4.132055958,"MG/L","TE","ICP-OES",0.5,"NONE"
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"P",0.25,"MG/L","TE","ICP-OES",0.5,"<"
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"Ca",48.11103518,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"Mg",15.55783989,"MG/L","CATION","ICP-OES",0.5,"NONE"
"CoBRA2023-49",2023-07-11,12H 29M 0S,"WLD","young",3,"WI",10,2023,192,"Si",15.35,"UG/L","TE","ICP-MS",30.7,"<"
