sampleID,Be_ppb,Na_ICPMS,Al_ICPMS,Si_ICPMS,K _ICPMS,Sc_ICPMS,Ti_ICPMS,V _ICPMS,Cr_ICPMS,Mn_ICPMS,Fe_ICPMS,Co_ICPMS,Ni_ICPMS,Cu_ICPMS,Zn_ICPMS,As_ICPMS,Se_ICPMS,Sr_ICPMS,Y _ICPMS,Mo_ICPMS,Ag_ICPMS,Cd_ICPMS,Sn_ICPMS,Sb_ICPMS,Ba_ICPMS,La_ICPMS,Pr_ICPMS,Ce_ICPMS,Nd_ICPMS,Sm_ICPMS,Eu_ICPMS,Tb_ICPMS,Gd_ICPMS,Dy_ICPMS,Ho_ICPMS,Er_ICPMS,Tm_ICPMS,Yb_ICPMS,Lu_ICPMS,Tl_ICPMS,Pb_ICPMS,Th_ICPMS,U _ICPMS
CoBRA2023-1,0.000,72,0.014,15,1,0.000,0.049,0.000,0.000,6.317,23.155,0.002,0.000,0.000,0.000,0.014,0.000,0.509,0.000,0.000,0.000,0.000,0.000,0.000,0.289,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-2,0.000,132,0.006,20,2,0.000,0.104,0.000,0.000,8.107,38.510,0.004,0.000,0.000,0.000,0.033,0.000,1.035,0.000,0.000,0.000,0.000,0.000,0.000,0.412,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-3,0.000,16,0.004,5,3,0.000,0.012,0.002,0.000,1.900,0.060,0.001,0.001,0.000,0.001,0.003,0.000,0.120,0.000,0.001,0.000,0.000,0.000,0.000,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-4,0.000,167,0.012,22,3,0.000,0.134,0.001,0.000,9.333,53.751,0.005,0.000,0.000,-0.001,0.070,0.001,1.499,0.000,0.000,0.000,0.000,0.000,0.000,0.647,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-5,0.000,18,0.006,6,2,0.000,0.012,0.001,0.000,0.428,0.021,0.000,0.001,0.001,0.001,0.001,0.000,0.108,0.000,0.001,0.000,0.000,0.000,0.000,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-6,0.000,26,0.003,17,1,0.000,0.023,0.001,0.000,3.893,11.119,0.001,0.001,0.000,0.001,0.005,0.000,0.201,0.000,0.000,0.000,0.000,0.000,0.000,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-8,0.000,112,0.039,28,6,0.000,0.133,0.001,0.000,20.323,74.239,0.003,0.000,0.000,0.001,0.060,0.000,1.438,0.000,0.000,0.000,0.000,0.000,0.000,0.767,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-9,0.000,21,0.012,10,2,0.000,0.015,0.001,0.000,1.248,0.044,0.001,0.002,0.000,0.002,0.002,0.000,0.127,0.000,0.001,0.000,0.000,0.000,0.000,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-10,0.000,19,0.003,15,1,0.000,0.015,0.000,0.000,2.874,12.438,0.000,0.001,0.000,0.002,0.005,0.000,0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-11,0.000,19,0.008,18,1,0.000,0.017,0.000,0.000,3.753,15.207,0.001,0.001,0.000,0.001,0.006,0.000,0.156,0.000,0.000,0.000,0.000,0.000,0.000,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-12,0.000,25,0.008,23,1,0.000,0.020,0.000,0.000,4.563,21.658,0.000,0.000,0.000,0.003,0.006,0.000,0.199,0.000,0.000,0.000,0.000,0.000,0.000,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-13,0.000,20,0.003,11,2,0.000,0.014,0.001,0.000,0.641,0.027,0.001,0.001,0.000,0.001,0.002,0.000,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-14,0.000,18,0.006,4,3,0.000,0.011,0.002,0.000,1.735,0.326,0.000,0.001,0.001,0.001,0.005,0.000,0.123,0.000,0.001,0.000,0.000,0.000,0.000,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-15,0.000,19,0.003,10,1,0.000,0.013,0.001,0.000,2.050,1.651,0.002,0.002,0.000,0.002,0.003,0.000,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-16,0.000,27,0.003,13,1,0.000,0.022,0.001,0.000,5.772,6.981,0.002,0.002,0.000,0.002,0.006,0.000,0.196,0.000,0.000,0.000,0.000,0.000,0.000,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
CoBRA2023-17,0.000,32,0.009,19,0,0.000,0.026,0.000,0.000,6.450,31.411,0.000,0.000,0.000,0.003,0.006,0.000,0.260,0.000,0.000,0.000,0.000,0.000,0.000,0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-18,0.000,,0.007,18,1,0.000,0.022,0.002,0.000,2.600,0.792,0.006,0.009,0.000,0.004,0.005,0.000,0.212,0.000,0.001,0.000,0.000,0.000,0.000,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
CoBRA2023-19,0.000,,0.022,17,1,0.000,0.023,0.001,0.000,3.454,11.264,0.008,0.011,0.001,0.004,0.013,0.000,0.240,0.000,0.003,0.000,0.000,0.000,0.000,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-20,0.000,,0.003,17,2,0.000,0.024,0.001,0.000,3.635,18.425,0.003,0.005,0.000,0.004,0.012,0.000,0.238,0.000,0.001,0.000,0.000,0.000,0.000,0.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-21,0.000,,0.004,26,2,0.000,0.029,0.001,0.000,5.493,36.191,0.001,0.001,0.000,0.002,0.022,0.000,0.248,0.000,0.000,0.000,0.000,0.000,0.000,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-22,0.000,46,0.005,17,1,0.000,0.022,0.002,0.000,4.189,8.169,0.006,0.007,0.000,0.003,0.006,0.000,0.215,0.000,0.001,0.000,0.000,0.000,0.000,0.185,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001
CoBRA2023-23,0.000,,0.003,20,0,0.000,0.019,0.001,0.000,3.964,27.905,0.001,0.001,0.000,0.002,0.008,0.000,0.192,0.000,0.000,0.000,0.000,0.000,0.000,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-24,0.000,,0.003,22,0,0.000,0.018,0.001,0.000,4.480,32.793,0.000,0.001,0.000,0.002,0.005,0.000,0.191,0.000,0.000,0.000,0.000,0.000,0.000,0.169,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-25,0.000,,0.005,23,0,0.000,0.021,0.001,0.000,4.670,28.179,0.000,0.000,0.000,0.004,0.003,0.000,0.195,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-26,0.000,,0.004,17,1,0.000,0.020,0.001,0.000,3.101,16.308,0.002,0.003,0.000,0.004,0.006,0.000,0.189,0.000,0.001,0.000,0.000,0.000,0.000,0.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-27,0.000,51,0.007,18,1,0.000,0.015,0.001,0.000,2.951,15.814,0.000,0.001,0.043,0.001,0.004,0.000,0.164,0.000,0.000,0.000,0.000,0.000,0.000,0.151,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-28,0.000,,0.004,22,1,0.000,0.017,0.001,0.000,3.694,22.008,0.000,0.000,0.000,0.003,0.002,0.000,0.172,0.000,0.000,0.000,0.000,0.000,0.000,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-29,0.000,,0.004,24,0,0.000,0.019,0.001,0.000,3.989,18.956,0.000,0.000,0.000,0.002,0.004,0.000,0.183,0.000,0.000,0.000,0.000,0.000,0.000,0.257,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-31,0.000,69,0.004,29,4,0.000,0.066,0.000,0.000,10.297,33.864,0.001,0.000,0.000,-0.001,0.032,0.000,0.680,0.000,0.000,0.000,0.000,0.000,0.000,0.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-32,0.000,71,0.003,28,2,0.000,0.074,0.000,0.000,10.942,42.519,0.001,0.000,0.000,-0.001,0.099,0.000,0.842,0.000,0.000,0.000,0.000,0.000,0.000,0.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-33,0.000,73,0.005,28,3,0.000,0.077,0.001,0.000,11.189,43.100,0.001,0.000,0.000,-0.001,0.095,0.000,0.850,0.000,0.000,0.000,0.000,0.000,0.000,0.379,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-34,0.000,24,0.005,8,2,0.000,0.013,0.001,0.000,2.497,2.904,0.001,0.001,0.001,0.001,0.006,0.000,0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-35,0.000,60,0.008,26,6,0.000,0.051,0.000,0.000,7.008,22.312,0.001,0.000,0.000,-0.001,0.001,0.000,0.524,0.000,0.000,0.000,0.000,0.000,0.000,0.330,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-36,0.000,85,0.022,31,7,0.000,0.072,0.000,0.000,8.020,33.807,0.002,0.000,0.000,-0.003,0.003,0.000,0.766,0.000,0.000,0.000,0.000,0.000,0.000,0.326,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-37,0.000,74,0.007,27,6,0.000,0.063,0.000,0.000,8.655,28.608,0.001,0.000,0.000,-0.001,0.004,0.000,0.651,0.000,0.000,0.000,0.000,0.000,0.000,0.394,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-38,0.000,140,0.003,27,3,0.000,0.111,0.001,0.000,11.384,45.740,0.002,0.000,0.000,-0.001,0.088,0.001,1.297,0.000,0.000,0.000,0.000,0.000,0.000,0.605,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-39,0.000,26,0.010,8,2,0.000,0.014,0.000,0.000,2.413,4.042,0.001,0.001,0.000,0.001,0.006,0.000,0.146,0.000,0.000,0.000,0.000,0.000,0.000,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-40,0.000,106,0.009,29,4,0.000,0.086,0.000,0.000,12.334,46.643,0.002,0.000,0.000,-0.001,0.043,0.000,0.949,0.000,0.000,0.000,0.000,0.000,0.000,0.464,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-41,0.000,66,0.005,30,6,0.000,0.053,0.000,0.000,8.118,32.679,0.001,0.000,0.000,-0.001,0.002,0.000,0.546,0.000,0.000,0.000,0.000,0.000,0.000,0.205,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-42,0.000,57,0.003,28,6,0.000,0.050,0.000,0.000,7.653,28.836,0.001,0.000,0.000,-0.002,0.003,0.000,0.482,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-43,0.000,11,0.002,0,0,0.000,0.000,0.000,0.000,0.003,0.003,0.000,0.000,0.000,0.034,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-7,0.000,74,0.003,27,2,0.000,0.076,0.000,0.000,16.205,53.536,0.001,0.000,0.000,0.000,0.015,0.000,0.784,0.000,0.000,0.000,0.000,0.000,0.000,0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CoBRA2023-30,0.000,74,0.005,30,2,0.000,0.075,0.000,0.000,11.244,43.012,0.001,0.000,0.000,-0.001,0.089,0.000,0.870,0.000,0.000,0.000,0.000,0.000,0.000,0.395,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000