sampleID,sample_date,sample_time,area,transect,plot,medium,depth,pH,SpC,ORP,temp,DOC,TC,Cl,SO4,NH4,SRP,NO3,Fe_II,Mn_OES,Fe_OES,P,Ca,Mg,Si
CoBRA2023-44,7/11/23,11:16,WLD,young,4,WS,0,7.01,451,190,33.7,6.964968027,39.61960603,9.467348901,14.29063176,,,,0.03,0.266082306,0.04640068,-0.337317296,42.9448865,14.28206204,3.068279812
CoBRA2023-45,7/11/23,11:29,WLD,young,4,WI,10,6.52,972,-117,31.8,14.3344796,102.0482062,80.3308334,0.465412668,,,,17,5.612017563,16.64586812,-0.183196423,92.5311463,27.5369599,18.11549356
CoBRA2023-46,7/11/23,11:41,WLD,young,4,WI,20,6.85,2490,-162,32.5,49.97113472,164.3722359,304.114374,-0.352592422,,,,37.5,12.43052895,46.33817758,1.300866363,247.6406807,79.39046989,22.54861061
CoBRA2023-47,7/11/23,11:56,WLD,young,4,WI,30,6.63,2860,-138,32.3,49.45065899,172.4241659,335.2308389,-0.352592422,,,,40,13.26933207,49.64779434,1.487889445,268.7062748,87.32039722,23.37852581
CoBRA2023-48,7/11/23,12:20,WLD,young,3,WS,0,6.7,482,7,31.9,7.315492504,27.81359437,18.03896878,30.95243124,,,,0.02,0.435182928,-0.012293408,-0.375991822,43.72878927,14.61083897,3.513156608
CoBRA2023-49,7/11/23,12:29,WLD,young,3,WI,10,6.72,563,-67,32,8.044158537,39.87057527,20.84857419,24.0911414,,,,3.75,1.997148202,4.132055958,-0.15895269,48.11103518,15.55783989,5.758119791
CoBRA2023-50,7/11/23,12:45,WLD,young,3,WI,30,6.82,2070,-177,31.5,23.44811599,142.7261383,100.234944,-0.352592422,,,,34.5,12.83271476,39.05454536,0.62031015,196.557404,63.14439844,25.0992164
CoBRA2023-51,7/11/23,12:59,WLD,young,3,WI,50,6.81,1940,-169,31.4,20.51645673,154.6471776,114.9981227,-0.352592422,,,,41.75,13.40106446,51.32651883,1.630465683,216.2519158,68.60752891,27.43202669
CoBRA2023-52,7/11/23,13:23,WLD,young,2,WI,50,6.72,1062,-148,32.9,9.926368757,64.15184992,15.96038213,-0.352592422,,,,16.25,5.686108176,24.7289802,-0.167611166,78.45414905,23.37223913,23.80289029
CoBRA2023-53,7/13/23,09:22,WLD,old,3,WS,0,7.11,180,63,30.2,13.97333317,38.33338864,17.32835056,2.116974274,,,,0.03,2.692501785,0.30254172,-0.364447187,37.09340847,12.9697581,10.50158314
CoBRA2023-54,7/13/23,09:52,WLD,old,3,WI,50,6.86,915,-163,30.4,11.23286908,97.49938862,283.8396539,-0.352592422,,,,60.5,9.880271164,70.5039151,0.441945544,170.0601016,54.79660995,24.28941628
CoBRA2023-55,7/13/23,10:15,WLD,old,3,WI,30,6.95,960,-123,32.3,11.88080826,59.11155088,110.0713963,-0.148868721,,,,28,6.631168736,27.69467944,-0.350016394,97.97490913,34.62534396,19.49818126